iter	RMSE
0	0.008587147397
1	0.008580671367
2	0.008574297246
3	0.008567219019
4	0.008560908754
5	0.008556733741
6	0.008548738804
7	0.0085390085
8	0.008534768531
9	0.008531085622
10	0.008525232228
11	0.00852126684
12	0.008514608969
13	0.008508487126
14	0.008502619858
15	0.008496675437
16	0.008490605762
17	0.008485011988
18	0.00848056977
19	0.008476645974
20	0.008469700595
21	0.008463794664
22	0.008457442976
23	0.008453337708
24	0.008446189364
25	0.008442037224
26	0.008436220255
27	0.0084329565
28	0.008429351438
29	0.008424510304
30	0.008416011982
31	0.008410699014
32	0.008404804156
33	0.008400969984
34	0.008394930149
35	0.008390109618
36	0.008384914865
37	0.008379494098
38	0.008374928066
39	0.008369372705
40	0.008362787571
41	0.00835803772
42	0.008352868928
43	0.008345577806
44	0.00833949292
45	0.008334654934
46	0.008328248505
47	0.00832375757
48	0.008321474935
49	0.008316533066
50	0.008310373177
51	0.0083038467
52	0.008299767575
53	0.008293828547
54	0.008290344856
55	0.008283461184
56	0.008276924145
57	0.008272620495
58	0.008268761899
59	0.008266026052
60	0.008259714131
61	0.008252728516
62	0.008248375784
63	0.008243767582
64	0.008239273468
65	0.008236365572
66	0.0082286117
67	0.008223617254
68	0.008219346403
69	0.008210846729
70	0.008206267106
71	0.008200890837
72	0.008195515725
73	0.008189734188
74	0.008186322255
75	0.008182126205
76	0.008177531161
77	0.008170319129
78	0.008166189966
79	0.008161270795
80	0.008154685947
81	0.008151414787
82	0.008146712431
83	0.008139870712
84	0.008134669028
85	0.008129703804
86	0.008123646527
87	0.008117886708
88	0.008113397759
89	0.008109427301
90	0.008104864084
91	0.008100274744
92	0.008094479104
93	0.008087497745
94	0.008082978682
95	0.008078924743
96	0.008073934972
97	0.00806915252
98	0.008064756032
99	0.008058901866
